game_id,commission,deduction,admin_rate
550299,10829,0,
518555,51847,0,
469426,10669,0,
510339,14097,7680,
603758,5742,0,
594755,241,0,
530231,2230,0,
493866,61,0,
468456,2875,780,
587195,582,0,
517599,111,0,
620922,1773,0,
572830,0,0,
683366,0,0,
527151,0,0,
608307,24440,4440,
525163,3967,540,
636247,1159,0,
613831,1276,0,
605667,1225,660,
676954,27,0,
543239,0,0,
656724,9923,0,
529945,12885,0,
560246,1971,0,
574995,68,0,
528729,5441,840,
601878,17480,0,
690203,151497,90000,5
518976,3154,0,
644042,975,0,
586059,118,0,
551513,64,0,
512006,3554,420,
539681,7921,1980,
549441,1259,600,
598855,6462,1560,
525459,958,0,
622846,512,0,
708998,0,0,
652945,15332,10000,
656502,619,270,
583855,0,0,
646016,1871,540,
650781,386,0,
165459,62,0,
523720,918,0,
579580,56,0,
641241,3816,0,
652988,788,0,
648972,0,0,
541024,433,0,
538327,2731,0,
544808,10368,2280,
551225,4444,0,
587438,182,0,
561371,9401,0,
668542,0,0,
626333,15139,8400,
682692,2495,0,
68523,663,0,
651192,1030,0,
649511,8892,0,
657271,434,0,
634252,0,0,
589814,5540,0,
550912,491,0,
560757,857,0,
551586,25,0,
527074,23038,0,
560843,456,0,
661032,8727,4080,
679706,0,0,
445186,10086,0,
700724,1773,0,
696839,17518,0,
619260,771,0,
617712,0,0,
686669,1015,0,
620411,0,0,
642322,12528,0,
685192,2219,0,
565879,5134,0,
518222,2,0,
675892,74,0,
706751,1662,0,
224508,2550,0,
690848,2045,0,
677465,691,0,
651254,4726,0,
620886,47719,25200,
542331,26082,3600,
555874,829,0,
679893,8225,0,
580709,521,0,
526919,367,0,
681830,35,0,
660216,165,0,
626522,849,0,
698296,277,0,
628778,2814,0,
517820,0,0,
689412,5818,0,
556501,50,0,
657149,36,0,
705230,162,0,
704676,2967,0,
514377,3972,0,
623789,225,0,
652858,0,0,
630442,139,0,
703413,8432,5040,
683523,663,0,
660127,481,0,
639843,0,0,
680159,8,0,
437377,9598,0,
631937,140055,70000,5
617960,0,0,
663799,0,0,
682160,0,0,
630980,9,0,
621285,10581,3540,
684733,0,0,
668964,186,0,
627354,0,0,
683885,4601,0,
620005,7452,3960,
622675,0,0,
673821,10044,6246,
690252,565,0,
689826,821,0,
542722,584,0,
647518,675,0,
690992,48,0,
652177,3381,0,
597362,0,0,
655398,74,0,
755461,0,0,
669114,3095,0,
353799,2711,720,
699147,14305,0,
677640,12,0,
800574,11,0,
639104,0,0,
672876,343,0,
622397,437,0,
619947,3329,0,
